symbol,begins_at,close_price,high_price,interpolated,low_price,open_price,session,volume,TP,20sma,MD,CCI
CVS,2017-08-04,75.821600,77.066400,False,75.773000,77.037200,reg,6059744,76.22033333333333,75.8216,1.1048363333333402,24.059873322614177
CVS,2017-08-07,76.940000,77.095500,False,75.841100,75.850800,reg,4604007,76.62553333333334,76.3808,1.1048363333333402,14.767395914951008
CVS,2017-08-08,76.405100,76.823300,False,74.606100,76.473200,reg,8639803,75.94483333333334,76.38889999999999,1.1048363333333402,-26.795321217510924
CVS,2017-08-09,77.241400,77.299800,False,75.909200,76.269000,reg,4902205,76.8168,76.602025,1.1048363333333402,12.959687241760498
CVS,2017-08-10,76.959400,78.087400,False,76.716300,76.930200,reg,4612767,77.25436666666667,76.6735,1.1048363333333402,35.04993751211185
CVS,2017-08-11,77.222000,77.610900,False,76.774600,76.774600,reg,2985502,77.2025,76.76491666666666,1.1048363333333402,26.404111941366484
CVS,2017-08-14,77.115000,77.931900,False,76.990900,77.348400,reg,3800570,77.34593333333333,76.81492857142857,1.1048363333333402,32.04123216468953
CVS,2017-08-15,76.930200,77.474800,False,76.735700,77.270600,reg,3104187,77.0469,76.8293375,1.1048363333333402,13.127887116915256
CVS,2017-08-16,77.066400,77.922100,False,76.823300,77.251100,reg,3573853,77.2706,76.85567777777777,1.1048363333333402,25.036723220376114
CVS,2017-08-17,76.716300,77.581800,False,76.696800,76.891300,reg,4470494,76.9983,76.84174,1.1048363333333402,9.446949759376002
CVS,2017-08-18,75.520200,76.580200,False,75.413200,76.288400,reg,5005371,75.83786666666667,76.72160000000001,1.1048363333333402,-53.32514308051863
CVS,2017-08-21,75.500700,75.773000,False,75.384000,75.549400,reg,3636861,75.55256666666666,76.61985833333334,1.1048363333333402,-64.40119285641825
CVS,2017-08-22,75.617400,76.230100,False,75.510500,75.704900,reg,5409113,75.786,76.54274615384615,1.1048363333333402,-45.6626398568323
